"sample","total.leaf.area"
"CAQU_7_AC",40.76
"CAQU_7_BA",32.24
"CAQU_7_BB",45.965
"CAQU_7_BC",23.9
"CAQU_9_AA",72.847
"CAQU_9_AB",60.988
"CAQU_9_AC",41.549
"CEGL_10_AA",0.367
"CEGL_10_AB",0.342
"CEGL_10_AC",0.297
"CEGL_11_AA",0.274
"CEGL_11_AB",0.254
"CEGL_11_AC",0.555
"CEGL_13_AA",0.356
"CEGL_13_AB",0.433
"CEGL_13_AC",0.485
"CEGL_15_AA",0.156
"CEGL_15_AB",0.182
"CEGL_15_AC",0.121
"CEGL_2_AA",1.723
"CEGL_2_AB",2.107
"CEGL_2_AC",0.904
"CEGL_4_AA",0.259
"CEGL_4_AB",0.498
"CEGL_4_AC",0.499
"CEGL_6_AA",0.481
"CEGL_6_AB",0.471
"CEGL_6_AC",0.334
"CEGL_7_AA",3.056
"CEGL_7_AB",1.878
"CEGL_7_AC",1.797
"CEGL_9_AA",0.947
"CEGL_9_AB",0.883
"CEGL_9_AC",0.486
"CLPE_6_AA",8.969
"CLPE_6_AB",4.648
"CLPE_6_AC",6.404
"CLPE_6_BA",15.013
"CLPE_6_BB",6.686
"CLPE_6_BC",8.977
"CLPE_6_CA",15.517
"CLPE_6_CB",22.767
"CLPE_6_CC",18.804
"CLPE_7_AA",7.624
"CLPE_7_AB",6.932
"CLPE_7_AC",9.371
"CLPE_7_BA",11.167
"CLPE_7_BB",9.736
"CLPE_7_BC",9.524
"CLPE_7_CA",7.379
"CLPE_7_CB",10.704
"CLPE_7_CC",6.544
"CLPE_8_AA",4.705
"CLPE_8_AB",7.094
"CLPE_8_AC",8.062
"CLPE_8_BA",8.961
"CLPE_8_BB",8.445
"CLPE_8_BC",7.919
"CLPE_8_CA",7.405
"CLPE_8_CB",4.483
"CLPE_8_CC",5.184
"DAGL_1_AA",20.315
"DAGL_1_AB",30.64
"DAGL_1_AC",28.133
"DAGL_10_AA",23.248
"DAGL_10_AB",18.835
"DAGL_10_AC",23.938
"DAGL_11_AA",31.08
"DAGL_11_AB",22.024
"DAGL_11_AC",25.792
"DAGL_12_AA",17.21
"DAGL_12_AB",26.068
"DAGL_12_AC",23.134
"DAGL_14_AA",13.981
"DAGL_14_AB",22.798
"DAGL_14_AC",19.911
"DAGL_2_AA",12.355
"DAGL_2_AB",21.688
"DAGL_2_AC",26.126
"DAGL_3_AA",32.394
"DAGL_3_AB",33.482
"DAGL_3_AC",29.716
"DAGL_6_AA",21.06
"DAGL_6_AB",26.776
"DAGL_6_AC",25.234
"DAGL_7_AA",37.277
"DAGL_7_AB",15.219
"DAGL_7_AC",8.442
"DEME_1_AA",22.708
"DEME_1_AB",6.835
"DEME_1_AC",10.721
"DEME_10_AA",17.133
"DEME_10_AB",6.09
"DEME_10_AC",10.508
"DEME_13_AA",13.611
"DEME_13_AB",9.004
"DEME_13_AC",4.409
"DEME_2_AA",6.454
"DEME_2_AB",9.702
"DEME_2_AC",5.268
"DEME_3_AA",6.62
"DEME_3_AB",13.563
"DEME_3_AC",13.058
"DEME_5_AA",6.274
"DEME_5_AB",21.841
"DEME_5_AC",14.758
"DEME_6_AA",17.265
"DEME_6_AB",9.379
"DEME_6_AC",5.814
"DEME_7_AA",4.867
"DEME_7_AB",29.398
"DEME_7_AC",10.093
"DEME_9_AA",3.284
"DEME_9_AB",6.672
"DEME_9_AC",6.435
"ELGL_14_AA",15.774
"ELGL_14_AB",12.837
"ELGL_14_AC",6.633
"ELGL_14_BA",18.771
"ELGL_14_BB",18.648
"ELGL_14_BC",14.261
"ELGL_3_AA",16.111
"ELGL_3_AB",19.295
"ELGL_3_AC",23.678
"ELGL_3_BA",10.955
"ELGL_3_BB",13.575
"ELGL_3_BC",12.894
"ELGL_3_CA",15.202
"ELGL_3_CB",12.893
"ELGL_3_CC",15.677
"ELGL_5_AA",18.793
"ELGL_5_AB",14.275
"ELGL_5_AC",14.902
"ELGL_9_AA",23.524
"ELGL_9_AB",20.128
"ELGL_9_AC",8.882
"ELGL_9_BA",19.852
"ELGL_9_BB",21.871
"ELGL_9_BC",10.664
"ELGL_9_CA",24.457
"ELGL_9_CB",18.897
"ELGL_9_CC",24.989
"EROR_10_AA",25.741
"EROR_10_BA",66.416
"EROR_10_CA",44.285
"EROR_12_AA",18.437
"EROR_12_BA",38.039
"EROR_12_CA",42.698
"EROR_13_AA",39.968
"EROR_13_BA",33.769
"EROR_13_CA",28.877
"EROR_15_AA",24.858
"EROR_15_BA",30.225
"EROR_15_CA",49.05
"EROR_3_AA",16.007
"EROR_3_BA",56.496
"EROR_3_CA",31.076
"EROR_4_AA",31.426
"EROR_4_BA",30.622
"EROR_4_CA",31.234
"EROR_5_AA",18.619
"EROR_5_BA",36.17
"EROR_5_CA",45.963
"EROR_8_AA",27.88
"EROR_8_BA",39.997
"EROR_8_CA",49.143
"EROR_9_AA",31.125
"EROR_9_BA",39.103
"EROR_9_CA",26.106
"GAAP_11_AA",0.677
"GAAP_11_AB",0.588
"GAAP_11_AC",0.261
"GAAP_13_AA",1.155
"GAAP_13_AB",1.011
"GAAP_13_AC",0.778
"GAAP_14_AA",0.261
"GAAP_14_AB",0.301
"GAAP_14_AC",0.302
"GAAP_15_AA",0.968
"GAAP_15_AB",1.015
"GAAP_15_AC",1.284
"GAAP_4_AA",1.655
"GAAP_4_AB",1.169
"GAAP_4_AC",1.464
"GAAP_6_AA",3.811
"GAAP_6_AB",3.319
"GAAP_6_AC",1.659
"GAAP_7_AA",5.39
"GAAP_7_AB",5.336
"GAAP_7_AC",3.176
"GAAP_8_AA",2.139
"GAAP_8_AB",1.071
"GAAP_8_AC",2.342
"GAAP_9_AA",8.497
"GAAP_9_AB",7.79
"GAAP_9_AC",10.122
"GEMO_1_AA",3.274
"GEMO_1_AB",3.539
"GEMO_1_AC",3.749
"GEMO_11_AA",2.202
"GEMO_11_AB",3.093
"GEMO_11_AC",2.065
"GEMO_13_AA",2.169
"GEMO_13_AB",1.282
"GEMO_13_AC",2.996
"GEMO_14_AA",3.514
"GEMO_14_AB",1.741
"GEMO_14_AC",6.633
"GEMO_2_AA",1.695
"GEMO_2_AB",1.681
"GEMO_2_AC",1.788
"GEMO_5_AA",3.331
"GEMO_5_AB",2.434
"GEMO_5_AC",3.042
"GEMO_6_AA",1.484
"GEMO_6_AB",1.461
"GEMO_6_AC",1.15
"GEMO_7_AA",7.083
"GEMO_7_AB",7.018
"GEMO_7_AC",2.388
"GEMO_9_AA",2.986
"GEMO_9_AB",5.008
"GEMO_9_AC",3.556
"LASP_10_AA",1.284
"LASP_10_AB",0.895
"LASP_10_AC",1.409
"LASP_10_BA",2.132
"LASP_10_BB",1.377
"LASP_10_BC",0.922
"LASP_10_CA",0.771
"LASP_10_CB",0.636
"LASP_10_CC",0.665
"LASP_11_AA",1.501
"LASP_11_AB",1.103
"LASP_11_AC",1.679
"LASP_11_BA",0.814
"LASP_11_BB",0.784
"LASP_11_BC",0.633
"LASP_11_CA",1.966
"LASP_11_CB",1.074
"LASP_11_CC",0.768
"LASP_12_AA",1.137
"LASP_12_AB",1.559
"LASP_12_AC",1.023
"LASP_12_BA",3.092
"LASP_12_BB",2.682
"LASP_12_BC",1.168
"LASP_12_CA",2.422
"LASP_12_CB",1.332
"LASP_12_CC",1.388
"LOUT_1_AA",18.62936748
"LOUT_1_BA",27.05050786
"LOUT_1_BB",11.07423901
"LOUT_1_CA",6.71504235
"LOUT_10_AA",7.12522252
"LOUT_11_AA",8.00797966
"LOUT_12_AA",19.46636322
"LOUT_13_AA",16.18222033
"LOUT_13_BA",5.52602247
"LOUT_14_AA",6.90581848
"LOUT_14_BA",16.89843864
"LOUT_15_AA",5.61320611
"LOUT_2_AA",7.05661237
